,Total 1996,Total 2000,Total 2001
Germany,367,482,537
France,673,827,917
United Kingdom,181,436,483
Italy,334,534,656
Portugal,184,245,289
Armenia,-,143,283
Bulgaria,-,66,318
Romania,99,138,465
Ukraine,-,41,457
Algeria,159,361,628
Equatorial Guinea,224,400,600
Morocco,381,727,1135
Nigeria,-,122,343
Senegal,218,353,508
United States,176,217,251
Argentina,365,441,602
Bolivia,-,84,255
Brazil,147,295,453
Colombia,170,448,2554
Ecuador,-,265,4524
Peru,168,255,339
Uruguay,120,147,184
Venezuela,120,172,224
Cuba,169,354,515
Dominican Republic,114,185,219
China,325,836,1246
Pakistan,-,176,432
