,Total 2001,Total 2002,Total 2003,Total 2004
Italy,656,1038,1760,2450
France,917,1130,1391,1492
Germany,537,661,805,941
United Kingdom,483,636,811,894
Portugal,289,311,412,476
Netherlands,129,157,198,241
Belgium,120,153,178,192
Ireland,58,82,108,124
Romania,465,994,1959,3139
Bulgaria,318,759,1502,2069
Ukraine,457,923,1371,1619
Russia,42,332,428,577
Armenia,283,380,461,550
Poland,126,203,254,299
Lithuania,14,38,75,111
Moldova,26,60,76,106
Morocco,1135,1689,2201,2580
Algeria,628,1003,1332,1602
Nigeria,343,797,1162,1595
Equatorial Guinea,600,717,907,984
Senegal,508,614,699,880
Ghana,85,157,230,285
Republic of Guinea,171,203,271,285
Cameroon,71,90,116,145
Liberia,130,135,907,126
Sierra Leone,75,105,119,115
Mexico,164,241,400,474
United States,251,314,383,441
Cuba,515,692,924,1008
Dominican Republic,219,263,339,359
Honduras,29,58,81,116
Ecuador,4524,9695,15395,18603
Colombia,2554,6327,8584,8936
Argentina,602,1243,2934,3596
Bolivia,255,526,1391,2830
Uruguay,184,320,675,1091
Brazil,453,653,837,989
Venezuela,224,386,609,842
Peru,339,442,630,691
Chile,154,232,369,462
Paraguay,19,30,52,104
China,1246,1667,1980,2406
Pakistan,432,662,1025,1313
India,170,234,344,483
Syria,136,185,227,223
Japan,45,57,110,138
Philippines,99,110,133,130
Lebanon,103,114,150,123
Jordan,76,80,97,102
