,Total 2004,Total 2005,Total 2006,Total 2007
Romania,3139,4512,6027,6582
Italy,2450,2998,3724,4432
Bulgaria,2069,2516,2938,2752
France,1492,1573,1762,2050
Ukraine,1619,1726,1922,1801
Germany,941,1021,1146,1357
United Kingdom,894,921,1069,1269
Armenia,550,712,877,833
Portugal,476,567,698,826
Poland,299,422,556,788
Russia,577,701,831,765
Netherlands,241,252,325,407
Belgium,192,197,216,252
Lithuania,111,153,199,238
Moldova,106,123,168,182
Ireland,124,130,147,176
Sweden,92,104,131,159
Czech Republic,4,69,94,154
Georgia,94,113,126,122
Swiss,70,78,104,114
Hungary,45,74,82,112
Morocco,2580,2852,3326,2984
Nigeria,1595,1993,2648,2609
Algeria,1602,1825,2321,2000
Senegal,880,947,1194,1159
Equatorial Guinea,984,1029,1138,992
Mali,98,229,557,868
Ghana,285,373,467,443
Republic of Guinea,285,374,461,443
Cameroon,145,147,211,212
Mexico,474,546,686,552
United States,441,438,535,496
Cuba,1008,1091,1143,1129
Dominican Republic,359,406,439,435
Honduras,116,141,228,396
Ecuador,18603,18369,18540,16315
Bolivia,2830,5187,8197,12818
Colombia,8936,9361,10336,9590
Argentina,3596,4201,4547,3840
Brazil,989,1215,1665,1955
Uruguay,1091,1506,1709,1586
Venezuela,842,1130,1438,1357
Peru,691,869,1064,1082
Paraguay,104,279,549,901
Chile,462,559,724,740
Pakistan,1313,2033,4009,3722
China,2406,2991,3717,3464
India,483,704,1274,1265
Syria,223,225,240,168
Philippines,130,132,141,135
New Zealand,8,9,81,276
